date,identifier,product,company_name,company_twitter
2019-05-13T00:00:00Z,FOXNEWSW_20190513_010000_The_Next_Revolution_With_Steve_Hilton,wells fargo,wells fargo,wellsfargo
2019-05-13T00:00:00Z,FOXNEWSW_20190513_060000_Fox_News_Sunday_With_Chris_Wallace,samsung galaxy,samsung,samsung
2019-05-13T00:00:00Z,FOXNEWSW_20190513_100000_FOX__Friends,safelite,safelite,safelite
2019-05-13T00:00:00Z,FOXNEWSW_20190513_090000_Fox_and_Friends_First,dawn ultra,procter & gamble,proctergamble
2019-05-13T00:00:00Z,FOXNEWSW_20190513_160000_Outnumbered,cosentyx,novartis,novartis
2019-05-13T00:00:00Z,FOXNEWSW_20190513_160000_Outnumbered,newday usa,newday usa,newdayusa
2019-05-13T00:00:00Z,FOXNEWSW_20190513_160000_Outnumbered,liberty mutual,liberty mutual,libertymutual
2019-05-13T00:00:00Z,FOXNEWSW_20190513_020000_Life_Liberty__Levin,xarelto,johnson & johnson,jnjnews
2019-05-13T00:00:00Z,FOXNEWSW_20190513_050000_Life_Liberty__Levin,john deere,john deere,johndeere
2019-05-13T00:00:00Z,FOXNEWSW_20190513_090000_Fox_and_Friends_First,geico,geico,geico
2019-05-13T00:00:00Z,FOXNEWSW_20190513_050000_Life_Liberty__Levin,geico,geico,geico
2019-05-13T00:00:00Z,FOXNEWSW_20190513_040000_The_Next_Revolution_With_Steve_Hilton,geico,geico,geico
2019-05-13T00:00:00Z,FOXNEWSW_20190513_010000_The_Next_Revolution_With_Steve_Hilton,geico,geico,geico
2019-05-13T00:00:00Z,FOXNEWSW_20190513_090000_Fox_and_Friends_First,expedia,expedia,expedia
2019-05-13T00:00:00Z,FOXNEWSW_20190513_020000_Life_Liberty__Levin,scholl,dr. scholl's,drscholls
2019-05-13T00:00:00Z,FOXNEWSW_20190513_070000_MediaBuzz,custom ink,custom ink,customink
2019-05-13T00:00:00Z,FOXNEWSW_20190513_080000_Fox_and_Friends_First,custom ink,custom ink,customink
2019-05-13T00:00:00Z,FOXNEWSW_20190513_000000_Scandalous_Chappaquiddick,choicehotels.com,choice hotels,choicehotels
2019-05-13T00:00:00Z,FOXNEWSW_20190513_000000_Scandalous_Chappaquiddick,badda boom,choice hotels,choicehotels
2019-05-13T00:00:00Z,FOXNEWSW_20190513_010000_The_Next_Revolution_With_Steve_Hilton,chevy,chevrolet,chevrolet
2019-05-13T00:00:00Z,FOXNEWSW_20190513_020000_Life_Liberty__Levin,otezla,celgene,celgene
2019-05-13T00:00:00Z,FOXNEWSW_20190513_090000_Fox_and_Friends_First,otezla,celgene,celgene
2019-05-13T00:00:00Z,FOXNEWSW_20190513_000000_Scandalous_Chappaquiddick,otezla,celgene,celgene
2019-05-13T00:00:00Z,FOXNEWSW_20190513_010000_The_Next_Revolution_With_Steve_Hilton,otezla,celgene,celgene
2019-05-13T00:00:00Z,FOXNEWSW_20190513_010000_The_Next_Revolution_With_Steve_Hilton,otezla,celgene,celgene
2019-05-13T00:00:00Z,FOXNEWSW_20190513_000000_Scandalous_Chappaquiddick,otezla,celgene,celgene
2019-05-13T00:00:00Z,FOXNEWSW_20190513_020000_Life_Liberty__Levin,otezla,celgene,celgene
2019-05-13T00:00:00Z,FOXNEWSW_20190513_000000_Scandalous_Chappaquiddick,carvana,carvana,carvana
2019-05-13T00:00:00Z,FOXNEWSW_20190513_010000_The_Next_Revolution_With_Steve_Hilton,applebee,applebee's,applebees
2019-05-13T00:00:00Z,FOXNEWSW_20190513_080000_Fox_and_Friends_First,brita,amgen,amgen
2019-05-13T00:00:00Z,FOXNEWSW_20190513_050000_Life_Liberty__Levin,allstate,allstate,allstate
2019-05-13T00:00:00Z,FOXNEWSW_20190513_160000_Outnumbered,allstate,allstate,allstate
2019-05-13T00:00:00Z,FOXNEWSW_20190513_020000_Life_Liberty__Levin,vraylar,allergan,allergan
2019-05-13T00:00:00Z,FOXNEWSW_20190513_000000_Scandalous_Chappaquiddick,vraylar,allergan,allergan
2019-05-13T00:00:00Z,FOXNEWSW_20190513_160000_Outnumbered,humira,abbvie,abbvie
2019-05-13T00:00:00Z,FOXNEWSW_20190513_010000_The_Next_Revolution_With_Steve_Hilton,bolder grill combos,applebee's,applebees
2019-05-13T00:00:00Z,FOXNEWSW_20190513_050000_Life_Liberty__Levin,john deere dealer,john deere,johndeere
