date,identifier,product,company_name,company_twitter
2019-11-02T00:00:00Z,FOXNEWSW_20191102_230000_Life_Liberty__Levin,wayfair,wayfair,wayfair
2019-11-08T00:00:00Z,FOXNEWSW_20191108_100000_Fox_and_Friends_First,walgreens,walgreens,walgreens
2019-11-07T00:00:00Z,FOXNEWSW_20191107_170000_Outnumbered,verizon,verizon,verizonwireless
2019-11-06T00:00:00Z,FOXNEWSW_20191106_180000_Outnumbered_Overtime_With_Harris_Faulkner,verizon,verizon,verizonwireless
2019-11-08T00:00:00Z,FOXNEWSW_20191108_230000_Special_Report_With_Bret_Baier,usaa,usaa,usaa
2019-11-08T00:00:00Z,FOXNEWSW_20191108_200000_Fox_News_Reporting,usaa,usaa,usaa
2019-11-08T00:00:00Z,FOXNEWSW_20191108_210000_Your_World_With_Neil_Cavuto,usaa,usaa,usaa
2019-11-08T00:00:00Z,FOXNEWSW_20191108_220000_The_Five,usaa,usaa,usaa
2019-11-08T00:00:00Z,FOXNEWSW_20191108_170000_Outnumbered,usaa,usaa,usaa
2019-11-02T00:00:00Z,FOXNEWSW_20191102_030000_Fox_News__Night_With_Shannon_Bream,usaa,usaa,usaa
2019-11-03T00:00:00Z,FOXNEWSW_20191103_150000_Sunday_Morning_Futures_With_Maria_Bartiromo,usaa,usaa,usaa
2019-11-03T00:00:00Z,FOXNEWSW_20191103_100000_FOX_Report_With_Jon_Scott,usaa,usaa,usaa
2019-11-02T00:00:00Z,FOXNEWSW_20191102_230000_Life_Liberty__Levin,usaa,usaa,usaa
2019-11-08T00:00:00Z,FOXNEWSW_20191108_110000_FOX__Friends,usaa,usaa,usaa
2019-11-02T00:00:00Z,FOXNEWSW_20191102_180000_Americas_News_HQ,usaa,usaa,usaa
2019-11-02T00:00:00Z,FOXNEWSW_20191102_140000_Cavuto_Live,usaa,usaa,usaa
2019-11-02T00:00:00Z,FOXNEWSW_20191102_070000_Fox_News__Night_With_Shannon_Bream,usaa,usaa,usaa
2019-11-07T00:00:00Z,FOXNEWSW_20191107_110000_FOX__Friends,usaa,usaa,usaa
2019-11-02T00:00:00Z,FOXNEWSW_20191102_090000_The_Five,usaa,usaa,usaa
2019-11-05T00:00:00Z,FOXNEWSW_20191105_210000_Your_World_With_Neil_Cavuto,unitedhealthcare insurance company,unitedhealthcare,uhc
2019-11-07T00:00:00Z,FOXNEWSW_20191107_210000_Your_World_With_Neil_Cavuto,unitedhealthcare insurance company,unitedhealthcare,uhc
2019-11-08T00:00:00Z,FOXNEWSW_20191108_210000_Your_World_With_Neil_Cavuto,unitedhealthcare insurance company,unitedhealthcare,uhc
2019-11-07T00:00:00Z,FOXNEWSW_20191107_200000_Fox_News_Reporting,unitedhealthcare,unitedhealthcare,uhc
2019-11-08T00:00:00Z,FOXNEWSW_20191108_210000_Your_World_With_Neil_Cavuto,unitedhealthcare,unitedhealthcare,uhc
2019-11-08T00:00:00Z,FOXNEWSW_20191108_200000_Fox_News_Reporting,unitedhealthcare insurance company,unitedhealthcare,uhc
2019-11-04T00:00:00Z,FOXNEWSW_20191104_210000_Your_World_With_Neil_Cavuto,unitedhealthcare insurance company,unitedhealthcare,uhc
2019-11-08T00:00:00Z,FOXNEWSW_20191108_190000_The_Daily_Briefing_With_Dana_Perino,unitedhealthcare insurance company,unitedhealthcare,uhc
2019-11-07T00:00:00Z,FOXNEWSW_20191107_200000_Fox_News_Reporting,unitedhealthcare insurance company,unitedhealthcare,uhc
2019-11-06T00:00:00Z,FOXNEWSW_20191106_210000_Your_World_With_Neil_Cavuto,unitedhealthcare insurance company,unitedhealthcare,uhc
2019-11-08T00:00:00Z,FOXNEWSW_20191108_220000_The_Five,united states postal service,united states postal service,usps
2019-11-03T00:00:00Z,FOXNEWSW_20191103_230000_FOX_Report_With_Jon_Scott,tracfone,tracfone,tracfonecalls
2019-11-04T00:00:00Z,FOXNEWSW_20191104_040000_Fox_Nation_American_Patriots,tracfone,tracfone,tracfonecalls
2019-11-03T00:00:00Z,FOXNEWSW_20191103_030000_Watters_World,entyvio,takeda,takedapharma
2019-11-04T00:00:00Z,FOXNEWSW_20191104_040000_Fox_Nation_American_Patriots,entyvio,takeda,takedapharma
2019-11-05T00:00:00Z,FOXNEWSW_20191105_220000_The_Five,safelite,safelite,safelite
2019-11-06T00:00:00Z,FOXNEWSW_20191106_140000_Americas_Newsroom_With_Bill_Hemmer_and_Sandra_Smith,safelite,safelite,safelite
2019-11-04T00:00:00Z,FOXNEWSW_20191104_110000_FOX__Friends,safelite,safelite,safelite
2019-11-06T00:00:00Z,FOXNEWSW_20191106_180000_Outnumbered_Overtime_With_Harris_Faulkner,safelite,safelite,safelite
2019-11-06T00:00:00Z,FOXNEWSW_20191106_170000_Outnumbered,safelite,safelite,safelite
2019-11-04T00:00:00Z,FOXNEWSW_20191104_140000_Americas_Newsroom_With_Bill_Hemmer_and_Sandra_Smith,safelite,safelite,safelite
2019-11-04T00:00:00Z,FOXNEWSW_20191104_170000_Outnumbered,safelite,safelite,safelite
2019-11-04T00:00:00Z,FOXNEWSW_20191104_190000_The_Daily_Briefing_With_Dana_Perino,safelite,safelite,safelite
2019-11-04T00:00:00Z,FOXNEWSW_20191104_200000_Fox_News_Reporting,safelite,safelite,safelite
2019-11-06T00:00:00Z,FOXNEWSW_20191106_110000_FOX__Friends,safelite,safelite,safelite
2019-11-06T00:00:00Z,FOXNEWSW_20191106_200000_Fox_News_Reporting,safelite,safelite,safelite
2019-11-06T00:00:00Z,FOXNEWSW_20191106_070000_The_Ingraham_Angle,safelite,safelite,safelite
2019-11-04T00:00:00Z,FOXNEWSW_20191104_230000_Special_Report_With_Bret_Baier,safelite,safelite,safelite
2019-11-05T00:00:00Z,FOXNEWSW_20191105_030000_The_Ingraham_Angle,safelite,safelite,safelite
2019-11-06T00:00:00Z,FOXNEWSW_20191106_030000_The_Ingraham_Angle,safelite,safelite,safelite
2019-11-07T00:00:00Z,FOXNEWSW_20191107_030000_The_Ingraham_Angle,safelite,safelite,safelite
2019-11-05T00:00:00Z,FOXNEWSW_20191105_200000_Fox_News_Reporting,safelite,safelite,safelite
2019-11-06T00:00:00Z,FOXNEWSW_20191106_190000_The_Daily_Briefing_With_Dana_Perino,safelite,safelite,safelite
2019-11-06T00:00:00Z,FOXNEWSW_20191106_230000_Special_Report_With_Bret_Baier,safelite,safelite,safelite
2019-11-05T00:00:00Z,FOXNEWSW_20191105_070000_The_Ingraham_Angle,safelite,safelite,safelite
