company_name,keywords,count
pfizer,"chantix, eliquis, lyrica, celebrex, spiriva, prevnar, centrum, viagra, premarin vaginal cream, xeljanz, pfizer, ibrance, advil congestion relief, centrum multigummies, thermacare heatwraps, new centrum, advil cold & sinus, advil liqui",15753
geico,"geico, geico insurance agency, best of geico",7812
subaru,"subaru, subaru legacy, subaru forester, subaru outback, subaru ascent, subaru loves",6834
allstate,"allstate, allstate value plan, allstate company, an allstate, allstate agents, drivewise, ask an allstate",6260
glaxosmithkline,"breo, biotene, advair, anoro, cool mint zantac, gaviscon, bexsero, poligrip, tanzeum, benefiber healthy shape, flonase allergy relief, benefiber, alli, abreva, super poligrip, nucala, excedrin migraine, nicoderm, nicoderm cq",5315
usaa,"usaa, usaa bank",5264
novo nordisk,"victoza, tresiba, ozempic, levemir, tresiba ready tresiba, levemir flextouch, tresiba reason, levemir flexpen, flexpen, novolog flexpen",5003
eli lilly,"cialis, cymbalta, jardiance, axiron, taltz, trulicity, verzenio, cialis tadalafil, trulicity.com",4584
at&t,"at&t, directv, at&t network, directv nfl",4387
abbvie,humira,4264
comcast,"comcast business, comcast, xfinity, xfinity xfi, xfi, xfinity home, comcast business internet, xfi pods, comcast nbcuniversal, xfinity voice remote, xfinity mobile, xfinity service, comcast business securityedge, comcast spotlight, effectv, comcast business security edge",4004
astrazeneca,"symbicort, farxiga, brilinta, nexium, crestor, nexium level protection, movantik, astrazeneca, purple pill, seroquel",3961
liberty mutual,"liberty mutual, liberty mutual insurance, zoltar, liberty mutual base policy, liberty mutual new car replacement, liberty mutual deductible fund, accident forgiveness liberty mutual",3856
celgene,otezla,3528
bayer,"aleve, alka-seltzer heartburn reliefchews, miralax, coricidin hbp, bayer advanced aspirin, bayer back & body, bayer pro ultra, bayer aspirin, bayer, lotrimin ultra, alka seltzer heartburn reliefchews, new alka seltzer, alka seltzer reliefchews, alka seltzer, advantix ii, one phillips ' colon health probiotic, new coppertone sport, phillips fiber good gummies, alka seltzer fruit chews, aleve pm, phillips ' digestive health, alka-seltzer heartburn relief gummies, coppertone sport, seresto",3424
verizon,"verizon, verizon center for customers, verizon wireless, aol, verizon edge, verizon ellipsis, verizon smart rewards, verizon xlte, ultra wideband, verizon stream tv",3371
td ameritrade,"scottrade, thinkorswim, ameritrade, amerivest, td ameritrade",3026
safelite,"safelite, safelite-dot-com, safelite advantage",2649
unitedhealthcare,"unitedhealthcare insurance company, unitedhealthcare, unitedhealthcare medicare solutions, united health",2517
takeda,"entyvio, contrave, trintellix",2254
amgen,"otezla, enbrel, brita, prolia, aimovig, etanercept, whilen enbrel, amgen",2220
allergan,"linzess, viberzi, namzaric, namenda, botox, vraylar, botox cosmetic, restasis multidose, aczone gel",2195
mercedes-benz,"mercedes-benz, mercedes, mercedes-benz gla, glc, mercedes-benz financial services",1930
novartis,"entresto, cosentyx, novartis",1824
citigroup,"citi, citi double cash, citibank, citi.com pricerewind, citigroup",1702
dr. scholl's,"dr. scholl, scholl, dr. scholls",1673
sanofi,"toujeo, dulcolax, zantac, lantus, allegra, dupixent",1627
bausch health,"jublia, ocuvite, bausch + lomb, national eye institute",1568
lifelock,"lifelock, lifelock.com tv",1475
