company_name,company_twitter,description
geico,geico,
allstate,allstate,
usaa,usaa,
abbvie,abbvie,
at&t,att,
celgene,celgene,
pfizer,pfizer,
subaru,subaru_usa,
verizon,verizonwireless,
novo nordisk,novonordisk,
eli lilly,lillypad,
takeda,takedapharma,
safelite,safelite,
liberty mutual,libertymutual,
unitedhealthcare,uhc,
mercedes-benz,mercedesbenz,
google,google,
lifelock,lifelock,
comcast,comcast,
dr. scholl's,drscholls,
td ameritrade,tdameritrade,
citigroup,citi,
facebook,facebook,
glaxosmithkline,gsk,
volkswagen,volkswagen,
bausch health,bauschlomb,"bausch health doesn't have a twitter so bauschlomb, which is a subsidiary, will have to do"
motorola,motorola,
novartis,novartis,
astrazeneca,astrazeneca,
john deere,johndeere,
roche,roche,
nfl,nfl,
bayer,bayer,
aarp,aarp,
nissan,nissan,
nascar,nascar,
sanofi,sanofi,
credit karma,creditkarma,
boeing,boeing,
t. rowe price,troweprice,
allergan,allergan,
astellas,astellasus,
sunovian,sunovian,
philips,philips,
pg&e,pge4me,
amgen,amgen,
essity,essity,
ace hardware,acehardware,
esurance,esurance,
hp,hp,
audi,audi,"although tecnically under volkswagen, distinct enough brand"
gilead sciences,gileadsciences,
phillips 66,phillips66co,
humana,humana,
starbucks,starbucks,
abbott,abbottglobal,
tempur-pedic,tempurpedic,
gillette,gillette,"actually owned by Proctor & Gamble, but distinct enough. @proctorgamble"
boehringer ingelheim,boehringer,
purina,purina,"actually subsidiary of Land O'Lakes, Inc. (@LandOLakesInc)"
apple,apple,
quincy bioscience,quincybio,
centurylink,centurylink,
idaho potato commission,idahopotato,
chevrolet,chevrolet,"actually division of general motors @gm"
aflac,aflac,
charles schwab corporation,charlesschwab,
expedia,expedia,
campbell soup company,campbellsoupco,
nature's bounty,naturesbounty,"owned by carlyle group @onecarlyle"
cancer treatment centers of america,cancercenter,
sony,sony,
clorox,clorox,
lincoln,lincolnmotorco,"actually owned by ford @ford"
kellogg company,kelloggcompany,
bank of america,bankofamerica,
duracell,duracell,"owned by berkshire hathaway @berkshire"
transamerica corporation,transamerica,
merck,merck,
newday usa,newdayusa,
finra,finra,
cvs health,cvshealth,
adt,adt,
exxon mobil,exxonmobil,
cigna,cigna,
gm,gm,
subaru,subaru_usa,
volvo,volvocars,
samsung,samsung,
siemens,siemens,
goldman sachs,goldmansachs,
microsoft,microsoft,
the hartford,thehartford,
bristol-myers squibb,bmsnews,
fisher investments,fisherinvest,
toyota,toyota,
carfax,carfax,"owned by IHS Markit @ihsmarkit"
voya financial,voya,
united states postal service,usps,
polaris industries,polarisind,
university of pittsburgh medical center,upmc,
red lobster,redlobster,
