product,company_name,rel_end
3m,3m,
aarp medicare,aarp,
aarp medicare plans,aarp,
aarp auto insurance program,aarp,
aarp,aarp,
aarp hearing care program,aarp,
aarp medicarecomplete,aarp,
aarp medicare supplement plans,aarp,
glucerna hunger smart,glucerna,
new ensure max protein,ensure,
ensure enlive,ensure,
glucerna,glucerna,
new ensure active high protein,ensure,
new glucerna,glucerna,
ensure active heart health,ensure,
humira,humira,
abercrombie,abercrombie,
ace,ace hardware,
adidas,adidas,
adp,adp,
adt,adt,
advil,advil,
aetna,aetna,
aflac,aflac,
aig,aig,
air canada,air canada,
airasia,airasia,
airbus,airbus,
alamo,alamo,
alcoa,alcoa,
viberzi,allergan,
namenda,allergan,
botox cosmetic,allergan,
botox,allergan,
restasis multidose,allergan,
vraylar,allergan,
namzaric,allergan,
aczone gel,allergan,
linzess,allergan,
allstate,allstate,
an allstate,allstate,
allstate value plan,allstate,
allstate company,allstate,
ask an allstate,allstate,
drivewise,allstate,
allstate agents,allstate,
ally bank,ally financial,
alzheimer 's association walk,alzheimer's association,
alz.org walk,alzheimer's association,
audible,amazon,
audible originals,amazon,
amazon,amazon,
amc,amc,
amd,amd,
aag,american advisors group,
american airlines,american airlines,
american airline,american airlines,
plenti,american express,
prolia,amgen,
neulasta onpro,amgen,
brita,amgen,
neulasta,amgen,
enbrel,amgen,
whilen enbrel,amgen,
aimovig,amgen,
etanercept,amgen,
miracle-ear,amplifon,
amtrak,amtrak,
amway,amway,
ancestry.com,ancestry,
at ancestry.com,ancestry,
apple,apple,
applebee,applebee's,
applebee 's new sizzlin,applebee's,
applebee 's new loaded chicken fajitas,applebee's,
bolder grill combos,applebee's,
cent boneless wings,applebee's,
applebee 's,applebee's,
armor all original protectant,armor all,
asiana,asiana airlines,
aspen dental,aspen dental,
aspen,aspen dental,
myrbetriq,astellas,
astrazeneca,astrazeneca,
purple pill,astrazeneca,
crestor,astrazeneca,
seroquel,astrazeneca,
brilinta,astrazeneca,
movantik,astrazeneca,
nexium,astrazeneca,
symbicort,astrazeneca,
farxiga,astrazeneca,
nexium level protection,astrazeneca,
at&t network,at&t,
directv,at&t,
directv nfl,at&t,
at&t,at&t,
atkins,atkins,
season of audi,audi,
audi sales event,audi,
audi,audi,
nuedexta,avanir pharmaceuticals,
aviva,aviva,
avon,avon products,
babbel,babbel,
bae,baesystems,
bain,bain & company,
bank of america,bank of america,
merrill edge,bank of america,
bankamerideals,bank of america,
barclays,barclays,
barnes & noble,barnes & noble,
bass pro shops,bass pro shops,
natural reflections ladies ' cozy socks,bass pro shops,
bausch + lomb,bausch health,
jublia,bausch health,
ocuvite,bausch health,
bayer aspirin,bayer,
aleve,bayer,
coppertone sport,bayer,
bayer advanced aspirin,bayer,
bayer,bayer,
bayer pro ultra,bayer,
bayer back & body,bayer,
one phillips ' colon health probiotic,bayer,
advantix ii,bayer,
lotrimin ultra,bayer,
alka seltzer reliefchews,bayer,
alka-seltzer heartburn relief gummies,bayer,
phillips fiber good gummies,bayer,
phillips ' digestive health,bayer,
alka seltzer fruit chews,bayer,
seresto,bayer,
alka seltzer,bayer,
new alka seltzer,bayer,
aleve pm,bayer,
alka seltzer heartburn reliefchews,bayer,
coricidin hbp,bayer,
miralax,bayer,
alka-seltzer heartburn reliefchews,bayer,
new coppertone sport,bayer,
ben & jerry 's,ben & jerry's,
bentley,bentley,
berkshire hathaway,berkshire hathaway,
bissell,bissell,
blackberry,blackberry,
blackrock,blackrock,
outback steakhouse,bloomin brands,
bny mellon wealth management,bny mellon,
pradaxa,boehringer ingelheim,
spiriva respimat,boehringer ingelheim,
boeing,boeing,
booking.com,booking.com,
high protein nutritional drink,boost drinks,
boost,boost drinks,
booz allen,booz allen hamilton,
bosley,bosley,
girls clubs of america,boys and girls clubs of america,
bp,bp,
lightsource,bp,
brightstar care,brightstar care,
opdivo,bristol-myers squibb,
orencia,bristol-myers squibb,
cabela 's,cabela's,
campbels chunky,campbell soup company,
prego,campbell soup company,
prego alfredo,campbell soup company,
ctca,cancer treatment centers of america,
cancer treatment centers of america,cancer treatment centers of america,
venture card,capital one,
carfax,carfax,
carrabba 's,carrabba's,
cars.com,cars.com,
cars.com research,cars.com,
carvana,carvana,
caterpillar,caterpillar,
otezla,otezla
centurylink,centurylink,
schwab bank,charles schwab corporation,
schwab etf onesource,charles schwab corporation,
schwab,charles schwab corporation,
charles schwab,charles schwab corporation,
chevy blazer,chevrolet,
chevrolet,chevrolet,
chevy employee discount,chevrolet,
chevy,chevrolet,
chevy silverado,chevrolet,
chevron,chevron,
chick-fil-a,chick-fil-a,
chico 's leggings,chico's,
chico 's and chicos.com,chico's,
chipotle,chipotle,
choicehotels.com,choice hotels,
badda book,choice hotels,
badda boom !,choice hotels,
badda boom,choice hotels,
choice hotels,choice hotels,
cigna,cigna,
cintas,cintas,
cisco,cisco,
citigroup,citigroup,
citi double cash,citigroup,
citi,citigroup,
citibank,citigroup,
citi.com pricerewind,citigroup,
clorox,clorox,
coleman,coleman,
colgate,colgate palmolive,
xfinity,comcast,
comcast business,comcast,
xfi,comcast,
xfinity service,comcast,
xfinity mobile,comcast,
xfinity xfi,comcast,
comcast business securityedge,comcast,
xfinity home,comcast,
comcast nbcuniversal,comcast,
effectv,comcast,
xfi pods,comcast,
comcast,comcast,
comcast spotlight,comcast,
comcast business internet,comcast,
voice control,comcast,
reddi-wip,conagra brands,
costco,costco,
credit karma.com,credit karma,
credit karma,credit karma,
credit karma tax,credit karma,
express whitestrips,crest,
crest 3d white whitestrips,crest,
crest hd,crest,
crest pro-health advanced,crest,
whitestrips whiten,crest,
whitestrips,crest,
crest,crest,
crest pro-health,crest,
crest whitestrips,crest,
crest sensi-stop strips,crest,
csx,csx,
custom ink,custom ink,
cvs health,cvs health,
cvs,cvs health,
olive garden,darden restaurants,
dell small business technology advisors,dell,
delta,delta,
devon,devon energy,
devry university,devry university,
dexcom,dexcom,
dhl,dhl,
hgtv,discovery inc,
scholl,dr. scholl's,
dr. scholl,dr. scholl's,
dr. scholls,dr. scholl's,
dunkin,dunkin brands,
duracell slamtones,duracell,
duracell,duracell,
duracell quantum,duracell,
dyson,dyson,
ebates,ebates,
edward jones,edward jones investments,
eggland,eggland's best,
eggland 's best,eggland's best,
cialis,eli lilly,
cymbalta,eli lilly,
taltz,eli lilly,
trulicity,eli lilly,
cialis tadalafil,eli lilly,
verzenio,eli lilly,
axiron,eli lilly,
jardiance,eli lilly,
emirates,emirates,
epson,epson,
equifax,equifax,
espn,espn,
varilux,essilor,
xperio uv,essilor,
essilor,essilor,
crizal,essilor,
tena,essity,
esurance,esurance,
etrade,etrade,
cologuard,exact sciences corporation,
travelocity,expedia,
expedia,expedia,
at experian.com,experian,
experian credit tracker,experian,
experian,experian,
exxon mobil,exxon mobil,
exxonmobil,exxon mobil,
exxon,exxon mobil,
mobil,exxon mobil,
facebook,facebook,
farmers,farmers insurance group,
fiat,fiat chrysler automobiles,
fiat chrysler,fiat chrysler automobiles,
chrysler pacifica,fiat chrysler automobiles,
pacifica limited,fiat chrysler automobiles,
dodge power dollars,fiat chrysler automobiles,
chrysler,fiat chrysler automobiles,
fico,fico,
fidelity,fidelity investments,
brokercheck,finra,
fisher investments,fisher investments,
ford service credit card,ford,
ford escape,ford,
ford edge,ford,
ford service credit credit card,ford,
geico,geico,
geico insurance agency,geico,
best of geico,geico,
ge,general electric,
g.e.,general electric,
ge software,general electric,
cheerios,general mills,
honey nut cheerios,general mills,
progresso,general mills,
pillsbury,general mills,
green giant,general mills,
multigrain cheerios,general mills,
gm financial,general motors,
harvoni,gilead sciences,
epclusa,gileadsciences,
bexsero,glaxosmithkline,
gaviscon,glaxosmithkline,
alli,glaxosmithkline,
nicoderm cq,glaxosmithkline,
cool mint zantac,glaxosmithkline,
anoro,glaxosmithkline,
